postazione;sensori;provincia;comune;tipo_strada;numero_strada;nome_strada
633;Underground;MO;MODENA;Strada statale;724dir;Modena sud, Tangenziale Di
223;Underground;PR;NOCETO;Strada statale;357;Fornovo, Strada Di
398;Underground;PR;FONTEVIVO;Strada provinciale;11;Busseto, Strada Di
349;Underground;FC;CESENATICO;Strada statale;16;Adriatica, Strada
336;Underground;RA;BAGNACAVALLO;Strada provinciale;253R;Vitale (San), Strada
624;Underground;RE;REGGIO NELL'EMILIA;Strada provinciale;23;Rivalta - Vezzanella, Strada
435;Underground;FC;FORLIMPOPOLI;Strada provinciale;037bis;Diramazione Fratta, Strada
335;Underground;RA;COTIGNOLA;Strada provinciale;7;San Silvestro - Felisio, Strada
302;Underground;PR;FIDENZA;Strada provinciale;12;Soragna, Strada Di
631;Underground;FC;SARSINA;Strada statale;003bis;Tiberina, Strada
305;Underground;PC;CARPANETO PIACENTINO;Strada provinciale;006bis;Castell'Arquato, Strada Di
343;Underground;FC;GALEATA;Strada provinciale;4;Bidente, Strada Del
157;Underground;BO;GRANAROLO DELL'EMILIA;Strada comunale;5;Donato (San), Via
306;Underground;PC;PONTE DELL'OLIO;Strada statale;654;Val Nure, Strada Di
438;Underground;RN;POGGIO TORRIANA;Strada provinciale;14;Santarcangelo, Strada
451;Underground;RE;LUZZARA;Strada provinciale;062R var;Cispadana, Strada
229;Underground;RE;POVIGLIO;Strada provinciale;111;Asse Val d'Enza, Strada
156;Underground;BO;CASTENASO;Strada statale;253;Vitale (San), Strada
628;Underground;FE;COMACCHIO;Strada statale;309;Romea, Strada
502;Underground;BO;BOLOGNA;Strada provinciale;26;Valle del Lavino, Strada
298;Underground;PR;FIDENZA;Strada provinciale;588R;Due Ponti, Strada Dei
605;Underground;BO;GAGGIO MONTANO;Strada statale;623;Passo Brasa, Strada Del
154;Underground;BO;PIANORO;Strada statale;065bis;Fondovalle Savena, Strada
182;Underground;RN;SANTARCANGELO DI ROMAGNA;Strada statale;258;Marecchia, Strada
16;Underground;FE;BONDENO;Strada provinciale;69;Virgiliana, Strada
405;Aboveground;PR;SALA BAGANZA;Strada provinciale;15;Calestano e di Calestano - Berceto, Strada Di
274;Underground;BO;MALALBERGO;Strada statale;64;Porrettana, Strada
